Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
Tarot,2024,92,PG-13,8250000,18632865,6503012,2024-05-05 00:00:00,45604127,,,
Top Gun: Maverick,2022,130,PG-13,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,Color,Dolby Atmos Auro 11.1 IMAX 6-Track 12-Track Digital Sound Sonics-DDP,2.39 : 1
Road House,2024,121,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.39 : 1
Twisters,2024,122,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Atmos,2.39 : 1
A Quiet Place: Day One,2024,100,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital Dolby Atmos IMAX 6-Track,2.39 : 1
The Boys in the Boat,2023,123,PG-13,40000000,52641306,8400548,2023-12-31 00:00:00,55481773,Color,Dolby Digital,2.39:1
Madame Web,2024,116,PG-13,80000000,43817106,15335860,2024-02-18 00:00:00,100298817,Color,IMAX 6-Track Dolby Atmos,2.39 : 1
The Lord of the Rings: The War of the Rohirrim,2024,130,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Bad Boys II,2003,147,R,130000000,138608444,46522560,2003-07-20 00:00:00,273340010,Color,DTS Dolby Digital Dolby Atmos,2.39 : 1
Bade Miyan Chote Miyan,2024,163,Not Rated,350000000,689505,493782,2024-04-14 00:00:00,2635333,Color,Dolby Atmos Dolby Digital IMAX 6-Track,2.39 : 1
Wild Eyed and Wicked,2023,99,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Boy Kills World,2023,111,R,0,0,0,1900-01-01 00:00:00,0,,,
Bullet Train,2022,127,R,85900000,103368602,30030156,2022-08-07 00:00:00,239268602,Color,Dolby Atmos Auro 11.1 IMAX 6-Track,2.39 : 1
The Shawshank Redemption,1994,142,R,25000000,28767189,727327,1994-09-25 00:00:00,29330268,,,
Dogma,1999,130,R,10000000,30652890,8669945,1999-11-14 00:00:00,31429330,Color,DTS Dolby Digital SDDS,2.39 : 1
Despicable Me 4,2024,95,PG,0,0,0,1900-01-01 00:00:00,0,Color,Auro 11.1 Dolby Surround 7.1 SDDS Dolby Digital,1.85 : 1
Be Kind Rewind,2008,102,PG-13,20000000,11175164,4100000,2008-02-24 00:00:00,30579406,,,
Ghostbusters: Frozen Empire,2024,115,PG-13,100000000,113155527,45004673,2024-03-24 00:00:00,201402150,Color,IMAX 6-Track Dolby Atmos,2.39 : 1
Longlegs,2024,101,R,0,0,0,1900-01-01 00:00:00,0,,,
The Beekeeper,2024,105,R,40000000,66220535,16576007,2024-01-14 00:00:00,152720535,,,
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,93000000,319205075,47211490,2001-12-23 00:00:00,887184080,Color,DTS SDDS,2.39 : 1
Interstellar,2014,169,PG-13,165000000,188020017,47510360,2014-11-09 00:00:00,705191242,Color,Datasat Dolby Digital IMAX 6-Track Dolby Surround 7.1,2.39 : 1
Colors of Evil: Red,2024,111,TV-MA,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.00 : 1
Saltburn,2023,131,R,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital Dolby Atmos,1.37 : 1
Monkey Man,2024,121,R,10000000,25116955,10119435,2024-04-07 00:00:00,34657403,Color,Dolby Atmos 12-Track Digital Sound Dolby Digital DTS:X Dolby Surround 7.1 Auro 11.1,2.39 : 1
The Godfather,1972,175,R,6000000,136381073,302393,1972-03-19 00:00:00,250342030,Color,Mono Dolby Digital,1.85 : 1
St. Elmo's Fire,1985,110,R,10000000,37803872,6128157,1985-06-30 00:00:00,37803872,Color,Dolby Stereo,2.39 : 1
The Green Mile,1999,189,R,60000000,136801374,18017152,1999-12-12 00:00:00,286801374,Color,DTS Dolby Digital SDDS,1.85 : 1
Die Hart 2: Die Harter,2024,92,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Once Upon a Time... in Hollywood,2019,161,R,90000000,142502728,41082018,2019-07-28 00:00:00,377617681,Color Black and White,Dolby Digital Dolby Atmos Dolby Surround 7.1,2.39 : 1
Unsung Hero,2024,113,PG,6000000,20335239,7731539,2024-04-28 00:00:00,20834335,,,
Unfrosted,2024,97,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,1.85 : 1
Beetlejuice,1988,92,PG,15000000,74664632,8030897,1988-04-03 00:00:00,74842827,Color,Dolby Stereo Dolby Atmos,1.85 : 1
Winnie-the-Pooh: Blood and Honey 2,2024,93,Not Rated,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Surround 7.1 Auro 11.1 Dolby Atmos Dolby Digital 12-Track Digital Sound,2:39:1
Barbie,2023,114,PG-13,100000000,636238421,162022044,2023-07-23 00:00:00,1445638421,Color,Dolby Digital IMAX 6-Track 12-Track Digital Sound D-Cinema 96kHz 7.1 Auro 11.1 Dolby Atmos DTS:X,2.00 : 1
Mad Max,1979,88,R,0,0,0,1900-01-01 00:00:00,0,,,
Twister,1996,113,PG-13,92000000,241830615,41059405,1996-05-12 00:00:00,494580615,Color,DTS Dolby Digital SDDS,2.39 : 1
The Hunger Games,2012,142,PG-13,78000000,408010692,152535747,2012-03-25 00:00:00,695220619,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby Atmos,2.39 : 1
Beetlejuice Beetlejuice,2024,0,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
Pulp Fiction,1994,154,R,8000000,107928762,9311882,1994-10-16 00:00:00,213928762,Color,Dolby Digital DTS,2.39 : 1
Splice,2009,104,R,30000000,17010170,7385277,2010-06-06 00:00:00,27127620,Color,SDDS DTS Dolby Digital,1.85 : 1
Titanic,1997,194,PG-13,200000000,674292608,28638131,1997-12-21 00:00:00,2264750694,,,
The Gentlemen,2019,113,R,22000000,36471795,10651884,2020-01-26 00:00:00,115175729,Color,Dolby Digital Dolby Surround 7.1 Dolby Atmos,2.39 : 1
Fright Night,1985,106,R,9000000,24922237,6118543,1985-08-04 00:00:00,24923585,Color,Dolby Stereo Dolby Atmos,2.39 : 1
The Zone of Interest,2023,105,PG-13,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,1.78 : 1
Everybody Wants Some!!,2016,117,R,10000000,3400278,312355,2016-04-03 00:00:00,4644472,Color,Dolby Digital Datasat Dolby Surround 7.1,1.85 : 1
My Fault,2023,117,Not Rated,0,0,0,1900-01-01 00:00:00,0,,,
